rel_path,file_name,ext,size_bytes,status,searchable,programmatic,text_extractable,is_structured,page_or_sheet_count,attachment_count,estimated_entities,estimate_truncated,bde_person_count,bde_confirmed,entity_bucket,entities_found,value_signal,pi_categories,is_bde,complexity_bucket,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,detail,ocr_attempted,ocr,ocr_pages,img_ocr_qualifying,img_ocr_calls,img_ocr_ok,img_decode_failed,di_calls,elapsed_s,nr_stage1,bde_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_is_bde,s2_lane,s2_nr,s2_detail,llm_tokens_total
CNG_Data2k/files/Q00897.01-0000652892.MSG,Q00897.01-0000652892.MSG,.msg,653824,ok,True,False,text,False,0,17,3,False,0,False,0-10,Name | Phone,True,Contact Information,False,,ambiguous,True,no,3735,likely_non_responsive,,False,False,0,0,0,0,0,0,1.529,True,False,False,stage1_nr,False,,,0,False,,False,,3735
CNG_Data2k/files/Q00897.01-0000544366.0001.PDF,Q00897.01-0000544366.0001.PDF,.pdf,20966,ok,True,False,text,False,1,0,0,False,0,False,0-10,,False,,False,,clear_non_responsive,False,,0,likely_non_responsive,,False,False,0,0,0,0,0,0,0.028,True,False,False,stage1_nr,False,,,0,False,,False,,0
CNG_Data2k/files/Q00897.01-0000796478.0007.PDF,Q00897.01-0000796478.0007.PDF,.pdf,1147537,ok,True,True,text,True,15,0,7,False,6,False,0-10,Name | Work-Related,False,Work-Related Information,False,,ambiguous,True,no,16740,likely_non_responsive,bde_llm_count,True,True,15,0,0,0,0,1,9.81,True,False,False,stage1_nr,False,,,0,False,,False,,16740
CNG_Data2k/files/Q00897.01-0000423066.0001.XLSX,Q00897.01-0000423066.0001.XLSX,.xlsx,158016,ok,True,True,text,True,10,0,112,False,0,False,100+,Payment Card | Money/Amount,True,Financial Account Information,False,,ambiguous,True,no,14862,likely_non_responsive,bde_llm_count,False,False,0,0,0,0,0,0,2.468,True,False,False,stage1_nr,False,,,0,False,,False,,14862
CNG_Data2k/files/Q00897.01-0000429941.MSG,Q00897.01-0000429941.MSG,.msg,120832,ok,True,False,text,False,0,0,3,False,0,False,0-10,Name | Address | Email | Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,4258,standard,,False,False,0,0,0,0,0,0,2.948,False,False,True,,True,likely_no,no,4331,False,likely_non_responsive,True,,8589
CNG_Data2k\files\Q00897.01-0000800884.0001.DOC,Q00897.01-0000800884.0001.DOC,.doc,45242,ok,True,False,text,False,0,0,1,False,0,False,0-10,Money/Amount | Work-Related,False,Financial Account Information | Work-Related Information,False,,ambiguous,True,no,6764,likely_non_responsive,,False,False,0,0,0,0,0,0,0.996,True,False,False,stage1_nr,False,,,0,False,,False,,6764
CNG_Data2k/files/Q00897.01-0000468440.MSG,Q00897.01-0000468440.MSG,.msg,171520,ok,True,False,text,False,0,0,9,False,5,False,0-10,Name | Address | Email | Phone | Health,True,Contact Information | Health-Related Information,False,,ambiguous,True,yes,11705,standard,bde_llm_count,False,False,0,0,0,0,0,0,5.57,False,False,True,,True,clear_yes,yes,6281,False,standard,False,,17986
CNG_Data2k/files/Q00897.01-0000625365.MSG,Q00897.01-0000625365.MSG,.msg,56832,ok,True,False,text,False,0,0,6,False,0,False,0-10,Name | Address | Email | Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,6207,standard,,False,False,0,0,0,0,0,0,4.151,False,False,True,,True,likely_yes,yes,6304,False,standard,False,,12511
CNG_Data2k\files\Q00897.01-0000017737.XLS,Q00897.01-0000017737.XLS,.xls,71861,ok,True,True,text,True,2,0,0,False,2,False,0-10,SSN | Money/Amount,True,Government-Issued Identification | Financial Account Information,False,,clear_responsive,False,,1578,structured_unreadable,bde_llm_count_roster,False,False,0,0,0,0,0,0,1.937,False,False,True,,True,clear_yes,yes,2617,False,standard,False,,4195
CNG_Data2k/files/Q00897.01-0000909871.PDF,Q00897.01-0000909871.PDF,.pdf,10244,ok,True,False,text,False,1,0,0,False,0,False,0-10,,False,,False,,clear_non_responsive,False,,0,likely_non_responsive,,False,False,0,0,0,0,0,0,0.125,True,False,False,stage1_nr,False,,,0,False,,False,,0
CNG_Data2k/files/Q00897.01-0000490523.0001.XLSX,Q00897.01-0000490523.0001.XLSX,.xlsx,27802,ok,True,True,text,True,1,0,57,False,0,False,50-100,Phone,True,Contact Information,False,,ambiguous,True,no,11646,likely_non_responsive,bde_llm_count,False,False,0,0,0,0,0,0,2.361,True,False,False,stage1_nr,False,,,0,False,,False,,11646
CNG_Data2k/files/Q00897.01-0000791268.MSG,Q00897.01-0000791268.MSG,.msg,137728,ok,True,False,text,False,0,0,4,False,0,False,0-10,Name | Address | Email | Phone,True,Contact Information,False,,ambiguous,True,yes,5667,standard,,False,False,0,0,0,0,0,0,3.105,False,False,True,,True,likely_yes,yes,5733,False,standard,False,,11400
CNG_Data2k/files/Q00897.01-0000292761.XLSX,Q00897.01-0000292761.XLSX,.xlsx,13847,ok,True,True,text,True,1,0,13,False,13,False,10-20,SSN | Money/Amount,True,Government-Issued Identification | Financial Account Information,False,,clear_responsive,False,,3160,standard,bde_llm_count_roster,False,False,0,0,0,0,0,0,2.992,False,False,True,,True,clear_yes,yes,4087,False,standard,False,,7247
CNG_Data2k/files/Q00897.01-0000452737.MSG,Q00897.01-0000452737.MSG,.msg,140800,ok,True,False,text,False,0,0,2,False,0,False,0-10,Name | Email | Phone,True,Contact Information,False,,ambiguous,True,yes,4062,standard,,False,False,0,0,0,0,0,0,2.724,False,False,True,,True,likely_no,no,4107,False,likely_non_responsive,True,,8169
CNG_Data2k/files/Q00897.01-0000020590.XLSX,Q00897.01-0000020590.XLSX,.xlsx,29412,ok,True,True,text,True,3,0,145,False,4,True,100+,Name | Money/Amount,False,Financial Account Information,True,,ambiguous,True,yes,11024,structured_bde,roster_by_rowcount bde_llm_count_roster,False,False,0,0,0,0,0,0,4.431,False,True,True,,True,clear_yes,yes,6028,True,structured_bde,False,,17052
CNG_Data2k/files/Q00897.01-0000895264.PDF,Q00897.01-0000895264.PDF,.pdf,48925,ok,True,False,text,False,1,0,0,False,0,False,0-10,,False,,False,,clear_non_responsive,False,,0,likely_non_responsive,,True,True,1,0,0,0,0,1,4.156,True,False,False,stage1_nr,False,,,0,False,,False,,0
CNG_Data2k\files\Q00897.01-0000842152.0001.DOC,Q00897.01-0000842152.0001.DOC,.doc,31760,ok,True,False,text,False,0,0,1,False,0,False,0-10,Name | Address | Money/Amount | Work-Related,True,Contact Information | Financial Account Information | Work-Related Information,False,,ambiguous,True,yes,6577,standard,,False,False,0,0,0,0,0,0,2.95,False,False,True,,True,likely_no,no,6795,False,likely_non_responsive,True,,13372
CNG_Data2k/files/Q00897.01-0000672508.MSG,Q00897.01-0000672508.MSG,.msg,125952,ok,True,False,text,False,0,1,2,False,0,False,0-10,Name | Address | Email | Phone,True,Contact Information,False,,ambiguous,True,no,3886,likely_non_responsive,,False,False,0,0,0,0,0,0,1.201,True,False,False,stage1_nr,False,,,0,False,,False,,3886
CNG_Data2k/files/Q00897.01-0000553597.MSG,Q00897.01-0000553597.MSG,.msg,251392,ok,True,False,text,False,0,0,2,False,0,False,0-10,Email | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,no,4916,likely_non_responsive,,False,False,0,0,0,0,0,0,2.769,True,False,False,stage1_nr,False,,,0,False,,False,,4916
CNG_Data2k/files/Q00897.01-0000735170.MSG,Q00897.01-0000735170.MSG,.msg,114176,ok,True,False,text,False,0,2,9,False,5,False,0-10,Name | Address | Email | Phone,True,Contact Information,False,,ambiguous,True,yes,11294,standard,bde_llm_count,False,False,0,0,0,0,0,0,4.669,False,False,True,,True,likely_yes,yes,6089,False,standard,False,,17383
CNG_Data2k/files/Q00897.01-0000722887.MSG,Q00897.01-0000722887.MSG,.msg,611328,ok,True,False,text,False,0,17,5,False,0,False,0-10,Name | Address | Email,True,Contact Information,False,,ambiguous,True,yes,4018,standard,,False,False,0,0,0,0,0,0,4.899,False,False,True,,True,borderline,no,4072,False,likely_non_responsive,True,,8090
CNG_Data2k/files/Q00897.01-0000855284.PDF,Q00897.01-0000855284.PDF,.pdf,62046,ok,True,True,text,True,1,0,8,False,1,False,0-10,Name | Phone | Bank/Account Number,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,6757,standard,bde_llm_count,True,True,1,0,0,0,0,1,7.559,False,False,True,,True,clear_yes,yes,3851,False,standard,False,,10608
CNG_Data2k/files/Q00897.01-0000130233.PDF,Q00897.01-0000130233.PDF,.pdf,1064494,ok,True,True,text,True,6,0,44,False,0,False,20-50,Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,no,9742,likely_non_responsive,bde_llm_count,True,True,6,0,0,0,0,1,9.842,True,False,False,stage1_nr,False,,,0,False,,False,,9742
CNG_Data2k/files/Q00897.01-0000908244.PDF,Q00897.01-0000908244.PDF,.pdf,21368,ok,True,False,text,False,2,0,18,False,18,False,10-20,Name | Address | Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,10674,standard,bde_llm_count_roster,False,False,0,0,0,0,0,0,64.247,False,False,True,,True,likely_yes,yes,5818,False,standard,False,,16492
