rel_path,file_name,ext,size_bytes,status,searchable,programmatic,text_extractable,is_structured,page_or_sheet_count,attachment_count,estimated_entities,estimate_truncated,bde_person_count,bde_confirmed,entity_bucket,entities_found,value_signal,pi_categories,is_bde,complexity_bucket,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,detail,ocr_attempted,ocr,ocr_pages,img_ocr_qualifying,img_ocr_calls,img_ocr_ok,img_decode_failed,di_calls,elapsed_s,nr_stage1,bde_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_is_bde,s2_lane,s2_nr,s2_detail,llm_tokens_total
CNG_Data2k_variance/files/Q00897.01-0000911526.PDF,Q00897.01-0000911526.PDF,.pdf,37312,ok,True,True,text,True,2,0,44,False,1,False,20-50,SSN | Money/Amount,True,Government-Issued Identification | Financial Account Information,False,,clear_responsive,False,,3714,standard,bde_llm_count,True,True,2,0,0,0,0,1,15.026,False,False,True,,True,clear_yes,yes,4575,False,standard,False,,8289
CNG_Data2k_variance/files/Q00897.01-0000908633.PDF,Q00897.01-0000908633.PDF,.pdf,37483,ok,True,False,text,False,5,0,30,False,30,False,20-50,Name | Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,15387,standard,bde_llm_count_roster,False,False,0,0,0,0,0,0,10.334,False,False,True,,True,clear_yes,yes,8251,False,standard,False,,23638
CNG_Data2k_variance/files/Q00897.01-0000205779.PDF,Q00897.01-0000205779.PDF,.pdf,90374,ok,True,False,text,False,1,0,4,False,0,False,0-10,Name | Address | Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,4000,standard,"img_ocr:p1(1/1,+31chars)",False,False,0,1,1,1,0,1,7.226,False,False,True,,True,clear_no,no,4065,False,likely_non_responsive,True,,8065
CNG_Data2k_variance/files/Q00897.01-0000898137.PDF,Q00897.01-0000898137.PDF,.pdf,13331,ok,True,False,text,False,2,0,1,False,0,False,0-10,Money/Amount,False,Financial Account Information,False,,clear_non_responsive,False,,0,likely_non_responsive,,False,False,0,0,0,0,0,0,0.148,True,False,False,stage1_nr,False,,,0,False,,False,,0
CNG_Data2k_variance/files/Q00897.01-0000760269.MSG,Q00897.01-0000760269.MSG,.msg,78336,ok,True,False,text,False,0,0,2,False,0,False,0-10,Address | Email | Phone,True,Contact Information,False,,ambiguous,True,no,4127,likely_non_responsive,,False,False,0,0,0,0,0,0,1.781,True,False,False,stage1_nr,False,,,0,False,,False,,4127
CNG_Data2k_variance/files/Q00897.01-0000298047.XLSX,Q00897.01-0000298047.XLSX,.xlsx,37391,ok,True,True,text,True,4,0,721,False,721,True,100+,Phone | Payment Card | Card/Transaction | Money/Amount,True,Contact Information | Financial Account Information,True,,ambiguous,True,yes,7048,structured_bde,roster_by_rowcount bde_llm_count_roster,False,False,0,0,0,0,0,0,5.587,False,True,True,,True,likely_yes,yes,3973,True,structured_bde,False,,11021
CNG_Data2k_variance/files/Q00897.01-0000857383.PDF,Q00897.01-0000857383.PDF,.pdf,593554,ok,True,False,text,False,2,0,1,False,0,False,0-10,Name | Address | Money/Amount | Work-Related,True,Contact Information | Financial Account Information | Work-Related Information,False,,ambiguous,True,yes,5324,standard,,False,False,0,0,0,0,0,0,3.102,False,False,True,,True,clear_yes,yes,5383,False,standard,False,,10707
CNG_Data2k_variance/files/Q00897.01-0000425832.MSG,Q00897.01-0000425832.MSG,.msg,335872,ok,True,False,text,False,0,1,3,False,0,False,0-10,Name | Address | Email | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,4339,standard,,False,False,0,0,0,0,0,0,3.155,False,False,True,,True,likely_yes,yes,4329,False,standard,False,,8668
CNG_Data2k_variance/files/Q00897.01-0000806074.MSG,Q00897.01-0000806074.MSG,.msg,141312,ok,True,False,text,False,0,1,9,False,9,False,0-10,Name | Address | Email | Phone | Health,True,Contact Information | Health-Related Information,False,,ambiguous,True,yes,12832,standard,bde_llm_count,False,False,0,0,0,0,0,0,6.013,False,False,True,,True,clear_yes,yes,6845,False,standard,False,,19677
CNG_Data2k_variance/files/Q00897.01-0000111892.XLSX,Q00897.01-0000111892.XLSX,.xlsx,62244,ok,True,True,text,True,1,0,573,False,0,False,100+,Work-Related,False,Work-Related Information,False,,ambiguous,True,no,10655,likely_non_responsive,roster_by_rowcount bde_llm_count,False,False,0,0,0,0,0,0,3.27,True,False,False,stage1_nr,False,,,0,False,,False,,10655
