rel_path,file_name,ext,size_bytes,status,searchable,programmatic,text_extractable,is_structured,page_or_sheet_count,attachment_count,estimated_entities,estimate_truncated,bde_person_count,bde_confirmed,entity_bucket,entities_found,value_signal,pi_categories,is_bde,complexity_bucket,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,detail,ocr_attempted,ocr,ocr_pages,img_ocr_qualifying,img_ocr_calls,img_ocr_ok,img_decode_failed,di_calls,elapsed_s,nr_stage1,bde_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_is_bde,s2_lane,s2_nr,s2_detail,llm_tokens_total
CNG_Data2k_variance/files/Q00897.01-0000736571.MSG,Q00897.01-0000736571.MSG,.msg,459264,ok,True,False,text,False,0,0,1,False,0,False,0-10,Name | Money/Amount | Health | Work-Related,True,Financial Account Information | Health-Related Information | Work-Related Information,False,,ambiguous,True,no,7269,likely_non_responsive,,False,False,0,0,0,0,0,0,4.286,True,False,False,stage1_nr,False,,,0,False,,False,,7269
CNG_Data2k_variance/files/Q00897.01-0000909631.PDF,Q00897.01-0000909631.PDF,.pdf,2744976,ok,True,False,text,False,516,0,495,False,51,True,100+,Name | Address | Phone | SSN | Money/Amount | Work-Related,True,Contact Information | Government-Issued Identification | Financial Account Information | Work-Related Information,True,,clear_responsive,False,,13074,bde,"img_ocr:p1,p1,p1,p1,p1,p6,p6,p7,p9,p11,p22,p24,p29(13/14,+355chars) bde_llm_count_roster",False,False,0,14,14,13,0,14,94.615,False,True,True,,True,clear_yes,yes,13991,True,bde,False,,27065
CNG_Data2k_variance/files/Q00897.01-0000332103.0001.PDF,Q00897.01-0000332103.0001.PDF,.pdf,347266,ok,True,False,text,False,4,0,1,False,0,False,0-10,Name | Address | Bank/Account Number | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,yes,4399,standard,"img_ocr:p2(1/1,+357chars)",False,False,0,1,1,1,0,1,7.807,False,False,True,,True,likely_no,no,4449,False,likely_non_responsive,True,,8848
CNG_Data2k_variance/files/Q00897.01-0000656045.MSG,Q00897.01-0000656045.MSG,.msg,249856,ok,True,False,text,False,0,3,3,False,0,False,0-10,Name | Email | Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,no,4128,likely_non_responsive,,False,False,0,0,0,0,0,0,2.373,True,False,False,stage1_nr,False,,,0,False,,False,,4128
CNG_Data2k_variance/files/Q00897.01-0000109435.XLSX,Q00897.01-0000109435.XLSX,.xlsx,17031,ok,True,True,text,True,2,0,114,False,2,False,100+,,False,,False,,ambiguous,True,no,7138,likely_non_responsive,roster_by_rowcount bde_llm_count,False,False,0,0,0,0,0,0,13.267,True,False,False,stage1_nr,False,,,0,False,,False,,7138
CNG_Data2k_variance/files/Q00897.01-0000868672.TXT,Q00897.01-0000868672.TXT,.txt,165470,ok,True,False,text,False,0,0,168,False,0,False,100+,Address | Phone | Money/Amount,True,Contact Information | Financial Account Information,False,,ambiguous,True,no,33297,likely_non_responsive,bde_llm_count,False,False,0,0,0,0,0,0,3.148,True,False,False,stage1_nr,False,,,0,False,,False,,33297
CNG_Data2k_variance/files/Q00897.01-0000688078.MSG,Q00897.01-0000688078.MSG,.msg,239616,ok,True,False,text,False,0,0,2,False,0,False,0-10,Name | Address | Email | Phone,True,Contact Information,False,,ambiguous,True,no,5298,likely_non_responsive,,False,False,0,0,0,0,0,0,2.402,True,False,False,stage1_nr,False,,,0,False,,False,,5298
CNG_Data2k_variance/files/Q00897.01-0000100244.DOCX,Q00897.01-0000100244.DOCX,.docx,62434,ok,True,False,text,False,0,0,1,False,0,False,0-10,Money/Amount,False,Financial Account Information,False,,clear_non_responsive,False,,0,likely_non_responsive,,False,False,0,0,0,0,0,0,0.05,True,False,False,stage1_nr,False,,,0,False,,False,,0
CNG_Data2k_variance/files/Q00897.01-0000540936.0001.PDF,Q00897.01-0000540936.0001.PDF,.pdf,676469,ok,True,False,text,False,4,0,1,False,0,False,0-10,Money/Amount,False,Financial Account Information,False,,clear_non_responsive,False,,0,likely_non_responsive,,False,False,0,0,0,0,0,0,3.489,True,False,False,stage1_nr,False,,,0,False,,False,,0
CNG_Data2k_variance/files/Q00897.01-0000286156.PDF,Q00897.01-0000286156.PDF,.pdf,3406072,ok,True,False,text,False,5,0,5,False,0,False,0-10,Name | Address,True,Contact Information,False,,ambiguous,True,yes,5243,standard,,True,True,5,0,0,0,0,1,13.181,False,False,True,,True,clear_yes,yes,5288,False,standard,False,,10531
