rel_path,file_name,ext,size_bytes,status,searchable,programmatic,text_extractable,ocr,docling_pages,ocr_pages,is_structured,page_or_sheet_count,attachment_count,estimated_entities,estimate_truncated,entity_bucket,entities_found,value_signal,pi_categories,is_bde,complexity_bucket,ambiguity,llm_consulted,llm_responsive,llm_responsiveness,llm_reasoning,llm_tokens,suggested_lane,detail,elapsed_s,dry_run
Q00897.01-0000000003.PDF,Q00897.01-0000000003.PDF,.pdf,261917,ok,True,False,text,False,0,0,False,1,0,1,False,0-10,Name | Email | Work-Related,True,Contact Information | Work-Related Information,False,,ambiguous,False,,,,0,standard,,0.52,True
Q00897.01-0000000004.PDF,Q00897.01-0000000004.PDF,.pdf,279573,ok,True,False,text,False,0,0,False,1,0,2,False,0-10,Name | Email | Date of Birth | Work-Related,True,Contact Information | Birth Information | Work-Related Information,False,,ambiguous,False,,,,0,standard,,0.462,True
Q00897.01-0000000007.PDF,Q00897.01-0000000007.PDF,.pdf,450640,error,False,False,,False,0,0,False,0,0,0,False,,,False,,False,,,False,,,,0,review_error,"ocr_failed: LocalEntryNotFoundError: Got: ConnectError: [WinError 10054] An existing connection was forcibly closed by the remote host
An error happened while trying to locate the files on the Hub, and we cannot find the appropriate snapshot folder for the specified revision on the local disk. Please check your internet connection and try again.",21.741,True
Q00897.01-0000000008.PDF,Q00897.01-0000000008.PDF,.pdf,373284,error,False,False,,False,0,0,False,0,0,0,False,,,False,,False,,,False,,,,0,review_error,"ocr_failed: LocalEntryNotFoundError: Got: ConnectError: [WinError 10054] An existing connection was forcibly closed by the remote host
An error happened while trying to locate the files on the Hub, and we cannot find the appropriate snapshot folder for the specified revision on the local disk. Please check your internet connection and try again.",2.136,True
Q00897.01-0000000011.PDF,Q00897.01-0000000011.PDF,.pdf,266148,error,False,False,,False,0,0,False,0,0,0,False,,,False,,False,,,False,,,,0,review_error,"ocr_failed: LocalEntryNotFoundError: Got: ConnectError: [WinError 10054] An existing connection was forcibly closed by the remote host
An error happened while trying to locate the files on the Hub, and we cannot find the appropriate snapshot folder for the specified revision on the local disk. Please check your internet connection and try again.",0.997,True
Q00897.01-0000000012.PDF,Q00897.01-0000000012.PDF,.pdf,1026639,error,False,False,,False,0,0,False,0,0,0,False,,,False,,False,,,False,,,,0,review_error,"ocr_failed: LocalEntryNotFoundError: Got: ConnectError: [WinError 10054] An existing connection was forcibly closed by the remote host
An error happened while trying to locate the files on the Hub, and we cannot find the appropriate snapshot folder for the specified revision on the local disk. Please check your internet connection and try again.",0.972,True
Q00897.01-0000000013.PDF,Q00897.01-0000000013.PDF,.pdf,477861,ok,True,False,text,False,0,0,False,2,0,2,False,0-10,Name | Email | Date of Birth | Money/Amount | Work-Related,True,Contact Information | Birth Information | Financial Account Information | Work-Related Information,False,,ambiguous,False,,,,0,standard,,0.977,True
Q00897.01-0000000014.PDF,Q00897.01-0000000014.PDF,.pdf,311809,error,False,False,,False,0,0,False,0,0,0,False,,,False,,False,,,False,,,,0,review_error,"ocr_failed: LocalEntryNotFoundError: Got: ConnectError: [WinError 10054] An existing connection was forcibly closed by the remote host
An error happened while trying to locate the files on the Hub, and we cannot find the appropriate snapshot folder for the specified revision on the local disk. Please check your internet connection and try again.",0.924,True
Q00897.01-0000000015.PDF,Q00897.01-0000000015.PDF,.pdf,692820,error,False,False,,False,0,0,False,0,0,0,False,,,False,,False,,,False,,,,0,review_error,"ocr_failed: LocalEntryNotFoundError: Got: ConnectError: [WinError 10054] An existing connection was forcibly closed by the remote host
An error happened while trying to locate the files on the Hub, and we cannot find the appropriate snapshot folder for the specified revision on the local disk. Please check your internet connection and try again.",0.895,True
Q00897.01-0000000019.PDF,Q00897.01-0000000019.PDF,.pdf,46370,ok,True,False,text,False,0,0,False,1,0,1,False,0-10,Name,False,,False,,ambiguous,False,,,,0,likely_non_responsive,,0.251,True
Q00897.01-0000000020.PDF,Q00897.01-0000000020.PDF,.pdf,779948,error,False,False,,False,0,0,False,0,0,0,False,,,False,,False,,,False,,,,0,review_error,"ocr_failed: LocalEntryNotFoundError: Got: ConnectError: [WinError 10054] An existing connection was forcibly closed by the remote host
An error happened while trying to locate the files on the Hub, and we cannot find the appropriate snapshot folder for the specified revision on the local disk. Please check your internet connection and try again.",1.15,True
Q00897.01-0000000022.PDF,Q00897.01-0000000022.PDF,.pdf,180986,error,False,False,,False,0,0,False,0,0,0,False,,,False,,False,,,False,,,,0,review_error,"ocr_failed: LocalEntryNotFoundError: Got: ConnectError: [WinError 10054] An existing connection was forcibly closed by the remote host
An error happened while trying to locate the files on the Hub, and we cannot find the appropriate snapshot folder for the specified revision on the local disk. Please check your internet connection and try again.",0.89,True
