rel_path,file_name,ext,size_bytes,status,searchable,programmatic,text_extractable,is_structured,page_or_sheet_count,attachment_count,estimated_entities,estimate_truncated,bde_person_count,bde_confirmed,entity_bucket,entities_found,value_signal,pi_categories,is_bde,complexity_bucket,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,detail,ocr_attempted,ocr,ocr_pages,img_ocr_qualifying,img_ocr_calls,img_ocr_ok,img_decode_failed,di_calls,elapsed_s,nr_stage1,bde_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_is_bde,s2_lane,s2_nr,s2_detail,llm_tokens_total
Q00897.01-0000000045.PDF,Q00897.01-0000000045.PDF,.pdf,1101984,ok,False,False,image_only,False,4,0,0,False,0,False,,,False,,False,1-4 pages,,False,,0,nonsearchable_sample,ocr_failed:CredentialUnavailableError,True,False,0,0,0,0,0,1,11.311,False,False,False,not_searchable,False,,,0,False,,False,,0
Q00897.01-0000000109.PDF,Q00897.01-0000000109.PDF,.pdf,403782,ok,False,False,image_only,False,1,0,0,False,0,False,,,False,,False,1-4 pages,,False,,0,nonsearchable_sample,ocr_failed:ClientAuthenticationError,True,False,0,0,0,0,0,1,11.096,False,False,False,not_searchable,False,,,0,False,,False,,0
Q00897.01-0000000712.PDF,Q00897.01-0000000712.PDF,.pdf,428996,ok,False,False,image_only,False,5,0,0,False,0,False,,,False,,False,5-10 pages,,False,,0,nonsearchable_sample,ocr_failed:ClientAuthenticationError,True,False,0,0,0,0,0,1,4.798,False,False,False,not_searchable,False,,,0,False,,False,,0
Q00897.01-0000000163.PDF,Q00897.01-0000000163.PDF,.pdf,2543000,ok,True,False,text,False,1,0,2,False,0,False,0-10,Name | Address | Email | Phone | SSN | Money/Amount | Work-Related,True,Contact Information | Government-Issued Identification | Financial Account Information | Work-Related Information,False,,clear_responsive,False,,0,standard,,False,False,0,0,0,0,0,0,15.432,False,False,True,,False,,yes,0,False,standard,False,llm_failed:AuthenticationError,0
Q00897.01-0000001417.PDF,Q00897.01-0000001417.PDF,.pdf,954546,ok,True,False,text,False,1,0,3,False,0,False,0-10,Name | Address | Email | Phone | SSN | Money/Amount | Work-Related,True,Contact Information | Government-Issued Identification | Financial Account Information | Work-Related Information,False,,clear_responsive,False,,0,standard,,False,False,0,0,0,0,0,0,1.14,False,False,True,,False,,yes,0,False,standard,False,llm_failed:AuthenticationError,0
Q00897.01-0000000659.PDF,Q00897.01-0000000659.PDF,.pdf,390978,ok,True,False,text,False,1,0,1,False,0,False,0-10,Name | Work-Related,True,Work-Related Information,False,,ambiguous,False,,0,standard,llm_failed:AuthenticationError,False,False,0,0,0,0,0,0,11.895,False,False,True,,False,,yes,0,False,standard,False,llm_failed:AuthenticationError,0
Q00897.01-0000000400.PDF,Q00897.01-0000000400.PDF,.pdf,115606,ok,True,False,text,False,4,0,1,False,0,False,0-10,Address | Phone | SSN | Money/Amount | Work-Related,True,Contact Information | Government-Issued Identification | Financial Account Information | Work-Related Information,False,,clear_responsive,False,,0,standard,"img_ocr:none(1 calls,0 chars)",False,False,0,1,1,0,0,1,18.137,False,False,True,,False,,yes,0,False,standard,False,llm_failed:AuthenticationError,0
Q00897.01-0000001899.PDF,Q00897.01-0000001899.PDF,.pdf,58729,ok,True,False,text,False,3,0,1,False,0,False,0-10,Name,False,,False,,ambiguous,False,,0,likely_non_responsive,llm_failed:AuthenticationError,False,False,0,0,0,0,0,0,0.398,True,False,False,stage1_nr,False,,,0,False,,False,,0
Q00897.01-0000001975.PDF,Q00897.01-0000001975.PDF,.pdf,49283,ok,True,False,text,False,1,0,1,False,0,False,0-10,Date of Birth,True,Birth Information,False,,ambiguous,False,,0,standard,llm_failed:AuthenticationError,False,False,0,0,0,0,0,0,0.44,False,False,True,,False,,yes,0,False,standard,False,llm_failed:AuthenticationError,0
Q00897.01-0000002023.PDF,Q00897.01-0000002023.PDF,.pdf,728439,ok,True,False,text,False,3,0,1,False,0,False,0-10,Name | Money/Amount | Work-Related,True,Financial Account Information | Work-Related Information,False,,ambiguous,False,,0,standard,llm_failed:AuthenticationError,False,False,0,0,0,0,0,0,2.155,False,False,True,,False,,yes,0,False,standard,False,llm_failed:AuthenticationError,0
Q00897.01-0000001536.PDF,Q00897.01-0000001536.PDF,.pdf,202813,ok,False,False,image_only,False,6,0,0,False,0,False,,,False,,False,5-10 pages,,False,,0,nonsearchable_sample,ocr_failed:ClientAuthenticationError,True,False,0,0,0,0,0,1,7.432,False,False,False,not_searchable,False,,,0,False,,False,,0
Q00897.01-0000000936.PDF,Q00897.01-0000000936.PDF,.pdf,63659,ok,True,False,text,False,1,0,1,False,0,False,0-10,Address | Date of Birth,True,Contact Information | Birth Information,False,,ambiguous,False,,0,standard,llm_failed:AuthenticationError,False,False,0,0,0,0,0,0,11.034,False,False,True,,False,,yes,0,False,standard,False,llm_failed:AuthenticationError,0
Q00897.01-0000002743.PDF,Q00897.01-0000002743.PDF,.pdf,2479894,ok,True,False,text,False,1,0,2,False,0,False,0-10,Name | Address | Email | Phone | SSN | Money/Amount | Work-Related,True,Contact Information | Government-Issued Identification | Financial Account Information | Work-Related Information,False,,clear_responsive,False,,0,standard,,False,False,0,0,0,0,0,0,1.299,False,False,True,,False,,yes,0,False,standard,False,llm_failed:AuthenticationError,0
Q00897.01-0000001669.PDF,Q00897.01-0000001669.PDF,.pdf,421101,ok,False,False,image_only,False,5,0,0,False,0,False,,,False,,False,5-10 pages,,False,,0,nonsearchable_sample,ocr_failed:ClientAuthenticationError,True,False,0,0,0,0,0,1,8.014,False,False,False,not_searchable,False,,,0,False,,False,,0
Q00897.01-0000002506.PDF,Q00897.01-0000002506.PDF,.pdf,399127,ok,True,False,text,False,1,0,1,False,0,False,0-10,Name | Work-Related,True,Work-Related Information,False,,ambiguous,False,,0,standard,llm_failed:AuthenticationError,False,False,0,0,0,0,0,0,2.607,False,False,True,,False,,yes,0,False,standard,False,llm_failed:AuthenticationError,0
Q00897.01-0000003729.PDF,Q00897.01-0000003729.PDF,.pdf,57185,ok,True,False,text,False,3,0,1,False,0,False,0-10,Name | Family,True,Family Information,False,,ambiguous,False,,0,standard,llm_failed:AuthenticationError,False,False,0,0,0,0,0,0,0.579,False,False,True,,False,,yes,0,False,standard,False,llm_failed:AuthenticationError,0
Q00897.01-0000004000.PDF,Q00897.01-0000004000.PDF,.pdf,383361,ok,True,False,text,False,1,0,1,False,0,False,0-10,Name | Work-Related,True,Work-Related Information,False,,ambiguous,False,,0,standard,llm_failed:AuthenticationError,False,False,0,0,0,0,0,0,1.799,False,False,True,,False,,yes,0,False,standard,False,llm_failed:AuthenticationError,0
Q00897.01-0000002102.PDF,Q00897.01-0000002102.PDF,.pdf,550368,ok,False,False,image_only,False,11,0,0,False,0,False,,,False,,False,11-50 pages,,False,,0,nonsearchable_sample,ocr_failed:ClientAuthenticationError,True,False,0,0,0,0,0,1,6.753,False,False,False,not_searchable,False,,,0,False,,False,,0
